Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
hong yang ai 4 hao ,Indica inbred,Guangdong,1983,6.018,127.5,85,NA,3.3,85,25,NA,NA,NA
jing guo 92,Japonica inbred,Yunnan,1983,7.5,127.5,100,18,NA,NA,24.5,NA,NA,92.5
han feng ,Japonica inbred,Shanghai,1983,5.115,NA,70,16,4.5,84.7,25,67.5,NA,57.1725
dian yu 1 hao ,Japonica inbred,Yunnan,1983,9,185,85,14.5,NA,90,23.5,NA,NA,80
yan jing 2 hao ,Japonica inbred,Jiangsu,1983,7.5,147.5,85,NA,NA,90,24.5,NA,NA,NA
gui fu 3 hao ,Indica inbred,Fujian,1983,4.5,NA,NA,NA,NA,NA,25.5,NA,NA,NA
he jiang 21 hao ,Japonica inbred,Heilongjiang,1983,7.0905,NA,85,13.5,NA,NA,27.5,NA,NA,NA
05zhan ,Indica inbred,Guangxi,1983,4.5,120,97.5,20,NA,92.5,16.5,NA,NA,NA
hui you zhan ,Indica inbred,Guangdong,1983,3.5595,130,95,NA,3.435,84.8,16.5,77,NA,65.296
yun jing 136,Japonica inbred,Yunnan,1983,7.5,180,105,NA,NA,73.5,29,NA,NA,140
chu xian1 hao ,Indica inbred,Yunnan,1983,7.5,160.5,90,NA,NA,NA,28,NA,NA,NA
gang bai ai 1 hao ,Indica inbred,Guangdong,1983,4.4415,142,93,18,3.6,78.5,22,95,NA,74.575
ning jing 5 hao ,Japonica inbred,Ningxia,1983,7.66425,140,80,NA,NA,NA,NA,NA,NA,NA
min hua zhan ,Indica inbred,Guangdong,1983,3.9945,130,95,NA,NA,NA,15.5,NA,NA,NA
jin dao 1 hao ,Japonica inbred,Shanxi,1983,9.75,157.5,110,19,NA,NA,27.5,NA,NA,NA
jiu dao 6 hao ,Japonica inbred,Jilin,1983,6.75,134,NA,NA,NA,90,26.5,NA,NA,NA
hei jing 3 hao ,Japonica inbred,Heilongjiang,1983,5.25,NA,75,NA,NA,NA,27,NA,NA,NA
dian hua 2 hao ,Japonica inbred,Yunnan,1983,6.75,184,97.5,17.4,3.975,75,28,NA,NA,NA
shuang gui 1 hao ,Indica inbred,Guangdong,1983,5.4465,145,NA,NA,NA,NA,NA,NA,NA,NA
guang dong 104,Indica inbred,Guangxi,1983,6,126.5,97.5,21,NA,82.5,25.6,NA,NA,NA
shuang gui 1 hao ,Indica inbred,Guangxi,1983,5.25,140,90,NA,NA,80,24.5,NA,NA,NA
shan you 36,Indica hybrid,Guangdong,1984,6.9,127.5,96.2,22.6,2.85,80.8,26.2,117.2,NA,94.6976
qing hua ai 6 hao ,Indica inbred,Guangdong,1984,5.295,140,93,19,3.45,87.2,21.1,94,NA,81.968
ning jing 6 hao ,Japonica inbred,Ningxia,1984,9.75,142.5,74,11.5,NA,NA,23,70,NA,58
qiu guang ,Japonica inbred,Ningxia,1984,9.75,139,82.5,13,NA,NA,24.5,60,NA,NA
yu chi 231-8,Indica inbred,Hunan,1984,6,121,85,22,NA,NA,22.23,NA,NA,NA
xiu you 57,Japonica hybrid,Ningxia,1984,11.25,160,NA,19,NA,NA,25.5,105,NA,82.5
dong wan 5 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1985,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
dong yi 105,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,1985,6,154,88,NA,NA,NA,26,NA,NA,NA
shuang dong zhan ,Indica inbred,Guangdong,1985,5.1135,135,85,19.9,3.195,86.7,22.5,83.5,NA,72.3945
qian xuan 74-4,Japonica inbred,Shanghai,1985,6.375,162.5,87.5,16,NA,87.5,26,NA,NA,NA
chu jing 4 hao ,Japonica inbred,Yunnan,1985,8.25,164,95,NA,NA,NA,25,NA,NA,NA
yun yu 1 hao ,Japonica inbred,Yunnan,1985,7.91175,185,NA,NA,NA,NA,25,150,NA,100
cong gui 314,Indica inbred,Guangdong,1985,6.7425,133,98,19.5,3.195,84.1,25.7,107,NA,89.987
4-425,Japonica inbred,Yunnan,1985,7.5,166.5,87.5,18.25,NA,NA,26,NA,NA,NA
xiang zao xian1 hao ,Indica inbred,Hunan,1985,6.75,121,NA,NA,NA,NA,31,NA,NA,NA
shan you 64,Indica hybrid,Guangdong,1986,6.7785,125,97.5,21.9,2.79,85.9,27.3,108.6,NA,93.2874
qi gui zao 25,Indica inbred,Guangdong,1986,5.2605,126.5,90,20,3,90,18.5,90,NA,81
san dong ai ,Indica inbred,Guangdong,1986,6.2745,133,92.5,20.3,3.675,82.1,22.5,100.3,NA,82.3463
dian long 201,Indica inbred,Yunnan,1986,6,NA,112.5,24,NA,80,33,NA,3.2,NA
shuang gui 36,Indica inbred,Guangdong,1986,6.2205,137.5,87.5,19.7,3.855,83.5,23.8,87.3,NA,72.8955
ai mei zao 3 hao ,Indica inbred,Guangdong,1986,5.817,125,82,17.5,3.75,84.7,26.3,78,NA,66.066
huai zao 1 hao ,Indica inbred,Hunan,1986,6.3,114,77.5,NA,NA,NA,25.5,NA,NA,NA
chu jing 5 hao ,Japonica inbred,Yunnan,1986,8.628,171,96.5,NA,NA,84,25.5,103,NA,86.52
ning jing 7 hao ,Japonica inbred,Ningxia,1986,9.6945,150,85,NA,NA,NA,25.5,NA,NA,NA
qiu gui ai 11 hao ,Indica inbred,Guangdong,1986,6.4905,138,95,20.3,2.955,84,25.1,99.3,NA,83.412
ning jing 8 hao ,Japonica inbred,Ningxia,1986,8.25,127.5,77,NA,NA,NA,26,NA,NA,45
qing you fu gui ,Indica inbred,Guangdong,1986,7.4295,135,92.4,18,2.955,80,26,130,NA,104
huai zao 2 hao ,Indica inbred,Hunan,1986,6,112,80,NA,4.485,NA,27.7,NA,NA,60.2
wan hua ai 1 hao ,Indica inbred,Guangdong,1986,6.2625,136,90,20,3.075,85,23.4,108,NA,91.8
shan you zhi long ,Indica hybrid,Guangdong,1987,6.7575,130,100,20.8,2.25,83.6,28.2,138.9,NA,116.1204
shan you 63,Indica hybrid,Hunan,1987,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
xiu shui 04,Japonica inbred,Shanghai,1987,6.9555,156,95,16,NA,85,26.5,NA,NA,NA
jin jing 3 hao ,Japonica inbred,Tianjin,1987,7.5,135,108,17.5,NA,NA,26.5,NA,NA,85
hong qi 23,Japonica inbred,Tianjin,1987,3.44325,167.5,105,19.5,NA,NA,24.5,NA,NA,NA
qiu guang ,Japonica inbred,Jilin,1987,7.5,147.5,90,NA,NA,NA,25,NA,NA,NA
dong yi 105,Japonica inbred,Hunan,1987,5.25675,125,89,16.4,NA,NA,27,NA,NA,NA
zao jin ,Japonica inbred,Jilin,1987,7,142,NA,NA,NA,NA,26,NA,NA,NA
ji jing 62 hao ,Japonica inbred,Jilin,1987,7.7468,138,95,NA,NA,NA,25,NA,NA,NA
mei lian zao ,Indica inbred,Guangdong,1987,5.067,107,77.5,18.2,3.45,82.65,24,86.3,NA,71.32695
xiang zao xian4 hao ,Indica inbred,Hunan,1987,6.2325,108.5,77.5,NA,NA,NA,26.8,NA,NA,NA
