Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
yan jing 25 hao ,Japonica inbred,Jilin,2003,7.32,135,101.1,17.1,NA,85,28.1,NA,NA,NA
qiu tian 39,Japonica inbred,Jilin,2003,8.466,141,103.3,17,NA,88.1,25.5,NA,NA,NA
nong jing 1 hao ,Japonica inbred,Heilongjiang,2003,6.6456,NA,82.2,15.8,NA,NA,27.1,NA,1.7,NA
sui jing 6 hao ,Japonica inbred,Heilongjiang,2003,7.95,NA,86.5,16.7,NA,90.6,27.7,NA,NA,NA
wu gong dao 1 hao ,Japonica inbred,Heilongjiang,2003,7.9762,NA,85.35,16.25,NA,97,26.95,NA,NA,NA
dong nong 423,Japonica inbred,Heilongjiang,2003,8.2226,NA,90.5,23.5,NA,NA,27,NA,1.9,NA
long xiang dao 1 hao ,Japonica inbred,Heilongjiang,2003,7.8228,NA,92,16.5,NA,NA,25.3,NA,1.7,NA
zhe jing 30,Japonica inbred,Zhejiang,2003,6.4311,134.5,NA,NA,3.495,91.6,25.7,NA,NA,82
xiu shui 209,Japonica inbred,Zhejiang,2003,6.38295,136,NA,NA,3.285,92.7,26.4,NA,NA,85.9
dong wan 12,Japonica inbred,Hubei,2003,6.48945,124.7,90.3,16.6,3.555,84.5,24.35,100.9,1.9,85.3
dong wan 13,Japonica inbred,Hubei,2003,6.90105,125.5,85.8,17.1,3.345,88.7,25.68,93.3,1.8,82.8
jing jing you 1 hao ,Japonica inbred,Yunnan,2003,9.978,171,99,19.15,NA,NA,25,NA,NA,NA
bi jing 41 hao ,Japonica inbred,Guizhou,2003,5.8224,167.5,100,NA,NA,85,27,NA,NA,125
gan wan xian33 hao ,Indica inbred,Jiangxi,2003,6.5232,132.4,92.3,NA,3.282,82.28,19.93,98.15,3.2,80.76
xin ke 2 hao ,Indica inbred,Fujian,2003,6.9,NA,95,22,NA,90,22,NA,NA,NA
yongyou 4 hao ,Japonica hybrid,Zhejiang,2003,8.526,NA,NA,NA,2.865,84.3,26.2,NA,NA,125.5
feng hua zhan ,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2003,7.011,123.2,97.9,21.8,3.405,82.6,22,135.2,3.2,111.6752
jia yu 21,Indica inbred,Hubei,2003,6.6186,110.5,80.8,20.1,3.885,80.3,26.09,99.9,3.3,80.2
yongyou 4 hao ,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.39075,151.2,123.7,22.5,2.76,84.4,25.9,166,2.2,140.104
10you 18,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.726,154,117.7,NA,NA,76.8,25.8,182.1,NA,139.8528
xin dao 10 hao ,Japonica inbred,Henan,2004,8.826,145,100,18,NA,90,25,NA,1.8,NA
zhe 106,Indica inbred,Zhejiang,2004,6.4125,113.5,NA,NA,2.9475,74.4,27.3,NA,2.9,89.4
feng fu zhan 1 hao ,Indica inbred,Guangdong,2004,6.3384,112.5,96.4,20.3,3.2025,76.95,22,120.5,NA,92.72475
ning jing 1 hao ,Japonica inbred,Jiangsu,2004,10.119,156,97,NA,3.15,91,28,NA,NA,113
wu jing 15 hao ,Japonica inbred,Jiangsu,2004,10.113,156,100,NA,3,93,27.5,NA,NA,120
zhong you 106,Japonica hybrid,Guangxi,2004,7.8015,118.5,105.5,23.7,3.105,73.5,20.8,154.2,2.9,113.337
long jing 13 hao ,Japonica inbred,Heilongjiang,2004,7.8264,NA,73.52,15.9,NA,NA,25,NA,1.8,NA
song jing 6 hao ,Japonica inbred,Jilin,2004,8.469,133,100,17,NA,93,27,NA,NA,NA
xu dao 4 hao ,Japonica inbred,Shandong,2004,8.688,150,95,NA,NA,90,26,130,NA,117
yun c hao 6 hao ,Japonica inbred,Yunnan,2004,5.8935,160,97,20,NA,NA,25,NA,NA,110
ji jing 83 hao ,Japonica inbred,Hebei,2004,10.5,145,100,20,NA,96,25,NA,NA,NA
ji jing 94 hao ,Japonica inbred,Jilin,2004,8.54,138,100,NA,NA,NA,26.6,NA,NA,NA
song jing 8 hao ,Japonica inbred,Heilongjiang,2004,8.3869,NA,90.3,17.5,NA,NA,25,NA,1.9,NA
qi li si miao ,Indica inbred,Guangdong,2004,6.51615,126,99.2,19.6,3.375,80.7,18.35,123.9,NA,99.9873
te you 009,Indica hybrid,Fujian,2004,6.79605,128,100,23,NA,85,28,NA,2.4,NA
lu liang you 28,Indica hybrid,Guangxi,2004,7.00185,109,NA,20.2,2.865,81.7,25.8,120,3.2,98.04
Qyou 5 hao ,Indica hybrid,Chongqing,2004,7.392,157,108,23,2.4,85,25,NA,3.1,NA
��you 363,Indica hybrid,Sichuan,2004,8.2275,153,115,24.5,2.625,81.2,26,NA,2.3,NA
nei xiang you 1 hao ,Indica hybrid,Sichuan,2004,7.779,149,116,26,NA,78.25,29,NA,3,119
zhu liang you 02,Indica hybrid,Guangxi,2004,6.771,108,NA,20.4,2.805,83.1,25.8,122.3,3.2,101.6313
Tyou 8086,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.9913,148.4,107.7,24.3,2.58,85.2,27.7,154,2.5,131.208
xie you 527,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.57385,153.2,111.2,24.6,2.55,82.7,32.3,139.2,3.1,115.1184
Dyou 128,Indica hybrid,Hainan,2004,8.5722,128.4,100.4,21.7,3.1365,86.8,25.2,128.8,NA,111.7984
Byou 811,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.42235,152,114.3,25.2,2.475,85,26,169.2,3.1,143.82
Qyou 2 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.9596,154.1,108.5,23.7,2.64,76.6,24.9,171.8,3,131.5988
jin you 448,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.48815,111.9,88.4,23.2,3.06,83.4,28,110.4,3.3,92.0736
zhong 9you 288,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.1295,115.5,103.4,23.8,3.03,80,25.4,131.1,3.2,104.88
yue you hua 4,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.27795,109.1,85.4,22.4,3.405,82.5,27.3,100.2,3.3,82.665
��you hang 1 hao ,Indica hybrid,Fujian,2004,6.73845,129,100,24,NA,86,27,135,2.6,116.1
xiang wan xian12 hao ,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.9927,115.4,98.5,22.2,3.675,85.9,25.3,97.3,3.6,83.5807
guo dao 3 hao ,Indica hybrid,Zhejiang,2004,7.8735,131.6,NA,NA,2.415,88.2,27.6,NA,NA,143.3
jin you 213,Indica hybrid,Hunan,2004,7.4451,113,98,21,3.45,80,25,124,2.8,99.2
wu feng you 998,Indica hybrid,Guangdong,2004,7.512,122,98.8,21,NA,85,23.3,128.5,2.75,109.225
zhen you 998,Indica hybrid,Guangdong,2004,6.708,118.5,100,20.8,NA,85.2,24,131,2.7,111.612
bo you 368,Indica hybrid,Guangdong,2004,6.3675,121.5,99.55,22.55,NA,82.8,21,143.5,2.65,118.818
jin you 601,Indica hybrid,Guangdong,2004,8.2914,120,106.27,23.57,NA,82.5,26.32,NA,NA,NA
chuan xiang dao 5 hao ,Indica hybrid,Sichuan,2004,7.75245,153,117,24.8,2.28,73.9,28.2,NA,3.2,129.6
��you 205,Indica hybrid,Jiangsu,2004,9.4755,146,125,NA,2.55,90,28.6,NA,2.5,145
ba you 8 hao ,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.50395,149.4,112.2,18.2,3.045,81.8,26,139.5,1.8,114.111
hua you guang kang zhan ,Indica hybrid,Jiangsu,2004,9.4725,142,122,NA,2.7,85,28,NA,3.4,138
69you 8 hao ,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.609,158.3,109.4,NA,NA,77.6,27.3,175.5,NA,136.188
jin dao 1007,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.021,156.6,99,NA,NA,84.5,23.7,142.6,NA,120.497
ming yue ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.988,176.9,97.2,NA,NA,84.5,26.8,112.5,NA,95.0625
zhong hua 17 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.22,173.8,104.7,NA,NA,89,24.1,120.1,NA,106.889
liao you 1518,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,10.425,155.2,106.2,NA,NA,84.6,26.9,143.2,NA,121.1472
jing you 14,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,10.9185,154.6,103.5,NA,NA,88.3,26.8,116.4,NA,102.7812
zhongzuo9936,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.913,153,109.3,NA,NA,86,25.9,111.9,NA,96.234
hua yu 560,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.9735,160.1,97.4,NA,NA,90.8,27.1,104.8,NA,95.1584
liao jing 92-34,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.93,156.4,88.5,NA,NA,88.1,21.9,108.7,NA,95.7647
shen dao 7 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.8305,152.3,93.8,NA,NA,90.4,26.2,73.1,NA,66.0824
yi Swan 2 hao ,Indica hybrid,Jiangxi,2004,5.8431,112,97.8,NA,2.7,NA,27.1,129.2,3.4,98.2
an liang you qing zhan ,Indica hybrid,Jiangxi,2004,6.40095,111.7,99.7,NA,3.195,NA,24,121.6,3.4,89.5
jin you ming 100,Indica hybrid,Fujian,2004,7.25895,124,100,23.4,NA,80,27,NA,3.2,NA
Tyou 551,Indica hybrid,Fujian,2004,6.5925,128,95,22,NA,85,29,120,2.5,102
yi feng 8 hao ,Indica hybrid,Sichuan,2004,8.3355,150,114,24.5,2.625,80,31.5,NA,NA,NA
luxiang 615,Indica hybrid,Sichuan,2004,8.01645,150,118.3,24.7,2.253,70.64,27,NA,2.9,NA
tian feng you 880,Indica hybrid,Guangdong,2004,6.09435,125,101.815,22.19,NA,83.815,25.98,NA,3.2,NA
Tyou 463,Indica hybrid,Guangxi,2004,6.687,113,103.8,22.4,2.76,82.6,26.9,130.7,3.3,107.9582
H28you 207,Indica hybrid,Guangxi,2004,7.2315,117,106.7,22,2.73,83.3,27.5,126.1,3.2,105.0413
bo ��you 273,Indica hybrid,Guangxi,2004,7.764,120,110.2,24.4,2.4,92.1,25.5,140.6,2.6,129.4926
tian you 128,Indica hybrid,Hainan,2004,7.92045,120,94.1,19.5,3.105,86.29,25.8,120.4,NA,103.89316
yi nong 1 hao ,Indica hybrid,Guizhou,2004,8.25,149.22,108,NA,2.85,77.9,27,NA,2.6,NA
Kyou 52,Indica hybrid,Anhui,2004,9.105,126,115,NA,NA,80,28,NA,NA,NA
xi nong you 1 hao ,Indica hybrid,Chongqing,2004,8.0013,157,113.7,25.4,NA,84.6,27,NA,NA,NA
yue you 360,Indica hybrid,Hunan,2004,6.8283,112,95,NA,3.3,80,27,111,3.1,88.8
zhu liang you 99,Indica hybrid,Hunan,2004,6.7575,110,90,21,2.856,80,28,110,3.1,88
jin you 188,Indica hybrid,Sichuan,2004,8.388,151,120,NA,2.307,75.3,28.2,NA,2.8,NA
shu long you 4 hao ,Indica hybrid,Sichuan,2004,7.9185,149,118,26,2.4075,78.93,26.5,NA,3,NA
lu liang you 106,Indica hybrid,Hunan,2004,9.8835,139,125,26,2.55,82,28.5,164.8,3.2,135.136
chuan xiang 9838,Indica hybrid,Sichuan,2004,8.22705,152,118.7,25.6,2.3925,79.5,30.4,NA,2.6,NA
liang you 6326,Indica hybrid,Anhui,2004,9.3975,141,115,NA,NA,80,27,NA,NA,NA
jin you 38,Indica hybrid,Hubei,2004,7.647,116.4,98,23.7,3.18,78.7,29.83,109.9,3.3,86.5
nei xiang you 9 hao ,Indica hybrid,Guizhou,2004,7.8375,147.79,109.86,NA,2.79,76.95,31.18,NA,2.9,111.75
zhong 9you 115,Indica hybrid,Yunnan,2004,11.37,155,111,26,NA,79,28.5,NA,3.3,NA
qiu you 998,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.5097,119.3,106.6,22.8,3.03,85.6,20.9,137.1,3,117.3576
��you 602,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.0477,155.7,110.6,24.6,2.445,82.4,29.7,150.5,2.3,124.012
mian 2you 838,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.868,150.4,110.7,25.2,2.385,81.8,28.9,163,2.7,133.334
jin you 18,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.71575,152.4,112.4,25.3,2.52,76.3,29.3,165.9,3.1,126.5817
hong you 527,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.68095,153,114.1,25.8,2.43,79.2,32.7,152.4,2.9,120.7008
xie you 527,Indica hybrid,Hubei,2004,9.09255,138.2,115.7,23.9,2.88,83.3,32.02,129.5,3.1,107.9
Dyou 363,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.5122,154.6,110.8,25,2.505,78.7,27.3,167.8,2.8,132.0586
��you xiang 13 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.2902,156.8,116.4,25.6,2.4,81.8,27.9,161.6,2.3,132.1888
jin you 527,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.8482,151.2,111.5,25.7,2.475,80.9,29.5,161.7,3.2,130.8153
zhong you 7 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.65335,151.8,113.2,25.2,2.64,80.6,26,166.8,3.1,134.4408
Dyou 128,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.5293,155,111.5,23.6,2.655,78.9,24.5,174.3,2.8,137.5227
ming you 98,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.32115,133.8,117.6,24,2.565,85.6,27.1,159.5,2.5,136.532
��you 7954,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.228,136.3,118.9,23.9,2.355,78.3,27.3,174.1,2.3,136.3203
xie you 5968,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.04065,138.1,117.5,22.3,2.685,79.6,29,142.7,2.6,113.5892
feng you 559,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,9.09495,137.1,120.2,24,2.745,83.4,25.1,158.1,2.8,131.8554
xie you 80,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.57245,115.1,92.7,21.4,2.985,85.6,28,108,3.1,92.448
feng you 9 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.86405,113.4,91,20.9,3.12,83.9,28,112.1,3.1,94.0519
zhong 9you 288,Indica hybrid,Hubei,2004,7.9959,116.7,98.6,23.9,3.39,78.8,25.81,126.2,3,99.5
yue you hua 4,Indica hybrid,Guangxi,2004,6.6225,116.5,90.3,22.3,3.015,73.8,27.2,121.4,3.3,89.5932
feng you 416,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.43235,122.9,96.6,22.5,2.91,83.5,28.2,112.9,2.7,94.2715
feng you 191,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.42935,121.7,97,23.3,2.73,82.1,30,124.2,2.9,101.9682
san xiang you 714,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.3389,123.9,111.1,24.7,2.715,76,30.1,123.4,2.7,93.784
guo dao 2 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.68445,118.1,108.5,25.5,2.595,79,30,128.1,3.1,101.199
pei liang you 210,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.60225,118.3,106.9,22.7,2.91,73.2,26.1,133.9,3,98.0148
fu you 98,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.2932,151,111,23,2.925,85,29,145,2.7,123.25
you you 998,Indica hybrid,Guangdong,2004,7.5945,128,102,22,2.85,86.2,24.4,NA,2.8,NA
yi xiang you 1577,Indica hybrid,Hubei,2004,7.98525,139,114.6,26.2,2.655,77.3,26.53,162.7,3,125.8
guo dao 3 hao ,Indica hybrid,Jiangxi,2004,6.08715,120,101.7,NA,3.015,76.9,26.4,126.2,3.4,97.1
Tyou 111,Indica hybrid,Hunan,2004,7.3215,123,108,NA,2.865,79.6,26,126.4,2.7,100.6144
jin you 463,Indica hybrid,Hunan,2004,7.2834,115,93.4,NA,3.2925,76.9,27.9,110,NA,84.59
fei you 600,Indica hybrid,Zhejiang,2004,7.5855,133.7,NA,NA,2.385,87.8,28.9,NA,NA,128.2
liang you 1169,Indica hybrid,Jiangxi,2004,7.39755,121.7,113.1,NA,2.715,80.2,26.7,123.9,3.4,99.4
quan you 36,Indica hybrid,Zhejiang,2004,8.3025,125.6,NA,NA,2.445,85.3,29.7,NA,NA,125.5
xie you 205,Indica hybrid,Zhejiang,2004,7.2735,128.3,NA,NA,2.79,87.4,29.9,NA,NA,100.5
zhong you 205,Indica hybrid,Zhejiang,2004,8.0385,130.1,NA,NA,2.505,86.1,26.8,NA,NA,125.7
yue za 889,Indica hybrid,Guangdong,2004,6.558,114.5,97.1,22.6,NA,76,25.5,132,3.1,100.32
qiu you 452,Indica hybrid,Guangdong,2004,6.501,120,100.95,22.9,NA,80,19.55,146,3,116.8
zhong you 523,Indica hybrid,Guangdong,2004,7.47,126,100,21.5,NA,82,23.3,130,2.8,106.6
long you 665,Indica hybrid,Guangdong,2004,6.2955,120,106.85,23.6,NA,84.55,25,125,2.7,105.6875
yue za 2004,Indica hybrid,Guangdong,2004,6.6555,114,104.65,22,NA,78.1,24.5,141,3.1,110.121
bo you 263,Indica hybrid,Guangdong,2004,6.444,123,103.2,21.9,NA,87.05,21.25,131,2.45,114.0355
zhong you 238,Indica hybrid,Guangdong,2004,7.1685,125,104,21.9,NA,85.5,22.3,118.5,3,101.3175
lin dao 11 hao ,Japonica inbred,Shandong,2004,8.9595,152,95,16,3.27,NA,26.5,NA,1.7,108.5
feng you 128,Indica hybrid,Shaanxi,2004,8.916,155.4,109.5,24.2,3.045,NA,25,182,3,135.6
hua you gui 99,Indica hybrid,Fujian,2004,7.87845,140,100,23,NA,85,24,NA,3,NA
shuo feng 2 hao ,Indica hybrid,Sichuan,2004,8.39625,154,118,26.5,2.4,81,27,NA,2.4,NA
xin xiang you 80,Indica hybrid,Hubei,2004,7.74915,115.1,91,22.1,3.57,80.2,26.28,109.4,3,87.8
tian you 218,Indica hybrid,Jiangsu,2004,9.6735,144,110,NA,2.475,85,25.2,NA,3.1,145
feng you 336,Indica hybrid,Jiangsu,2004,9.2565,143,115,NA,2.4,86,25.7,NA,3.2,165
jia yu 46,Indica inbred,Zhejiang,2004,6.3285,110.3,NA,NA,3.015,72.3,22.9,NA,NA,106.2
zhong zao 22,Indica inbred,Zhejiang,2004,4.9275,112,NA,NA,2.625,74.2,27.5,NA,NA,118.2
s hao jia 1 hao ,Indica inbred,Zhejiang,2004,6.567,108.5,82.4,NA,3.72,82,25.7,96,3.4,78.7
feng you 084,Indica hybrid,Jiangsu,2004,9.159,142,120,NA,2.7,85,27,NA,3.1,135
xie you 084,Indica hybrid,Jiangsu,2004,9.7155,142,117,NA,2.7,91,30,NA,2.9,125
hua liang you 106,Indica hybrid,Jiangxi,2004,6.92415,107.5,88.8,NA,3.555,76.9,27.4,96.6,3.3,74.3
long ping 601,Indica hybrid,Jiangxi,2004,6.8337,123,98.3,NA,2.805,75.6,28.5,115.7,2.8,87.5
chang you 4 hao ,Indica hybrid,Jiangxi,2004,7.29315,129,127.1,NA,2.535,NA,22.5,178.8,2.8,138.2
yuan jing 41,Japonica inbred,Zhejiang,2004,8.4315,154.8,NA,NA,3.42,86.9,26.3,NA,NA,100.8
zhe jing 27,Japonica inbred,Zhejiang,2004,8.4,158,92.2,NA,3.495,94.6,29.9,NA,NA,89.2
jia hua 1 hao ,Japonica inbred,Zhejiang,2004,8.736,158,NA,NA,3.315,92.5,25.8,124,NA,114.7
jia he 212,Japonica inbred,Zhejiang,2004,8.232,151.5,NA,NA,3.09,93.3,27.9,103.3,2.9,96.3789
jia zao 324,Indica inbred,Zhejiang,2004,6.2145,111.1,83.1,20.2,3.09,69,25.9,133.4,3.3,91.9
zhe jian 21,Indica inbred,Zhejiang,2004,6.31125,109.8,NA,NA,5.055,82.9,23,NA,3.4,60
zhe 103,Indica inbred,Zhejiang,2004,6.1155,108.8,97.6,NA,2.8215,75.8,27.4,NA,3.4,113.5
wen 220,Indica inbred,Zhejiang,2004,7.044,112,NA,NA,3.285,78.4,23.6,NA,3.3,84.7
chang you 2 hao ,Indica hybrid,Jiangxi,2004,7.8159,140.7,128.4,NA,2.52,79.1,25.5,182.1,3,144.1
xian nong 11 hao ,Indica hybrid,Jiangxi,2004,7.5807,139.3,130.1,NA,2.16,74.7,26.8,194.4,3,145.3
xian nong 20 hao ,Indica hybrid,Jiangxi,2004,5.86665,109.4,94.8,NA,3.405,NA,24.2,109.8,3.7,80.5
xian nong 24 hao ,Indica hybrid,Jiangxi,2004,6.09015,110,96.8,NA,3.075,NA,25.5,135.9,3.4,97.4
jiang si you 992,Indica hybrid,Jiangxi,2004,6.3612,111.4,98,NA,3.24,NA,25.7,123.8,3.3,90.6
SPyou ��98,Indica hybrid,Jiangxi,2004,6.48915,121.3,99.1,NA,2.85,77.5,26.9,120.4,2.8,93.3
za he A906,Indica hybrid,Jiangxi,2004,6.77115,122.4,104.9,NA,2.82,72.6,24.6,136.2,2.8,98.9
tian liang you 9 hao ,Indica hybrid,Jiangxi,2004,5.0385,116.1,103.3,NA,2.985,77.2,24.3,114.7,3.6,88.6
��you 183,Indica hybrid,Fujian,2004,8.2422,145,110,24,NA,85,27,NA,2.6,NA
te you 923,Indica hybrid,Fujian,2004,6.64875,129,100,22,NA,85,27,150,2.4,127.5
te you 671,Indica hybrid,Fujian,2004,7.87305,142,110,23,NA,85,29,NA,2.6,NA
��you 1273,Indica hybrid,Fujian,2004,8.2953,145,120,26,NA,86,28,160,2.5,137.6
mian 5you 151,Indica hybrid,Fujian,2004,8.0394,146,110,25,NA,80,29,NA,3.4,NA
Cyou 2095,Indica hybrid,Sichuan,2004,8.4195,151,121.3,25.4,2.5785,80.3,31.5,NA,3,NA
rong dao 8 hao ,Indica hybrid,Sichuan,2004,8.451,153.5,114,25,2.475,81.4,25,NA,2.8,NA
xiang you 402,Indica hybrid,Guangxi,2004,6.7155,112,NA,20.5,3.165,74.4,28.8,114.7,3.6,85.3368
Tyou 433,Indica hybrid,Guangxi,2004,6.6705,111,96.1,21.2,2.67,72.4,25.3,143.2,3,103.6768
Tyou 974,Indica hybrid,Guangxi,2004,6.462,109.5,95.8,22.1,2.88,68.3,24.3,142,3.4,96.986
78you 185,Indica hybrid,Guangxi,2004,7.47,117,116.8,25,2.55,83.5,25.4,150,2.6,125.25
yan liang you 9218,Indica hybrid,Guangxi,2004,7.2615,119,110.8,21.2,2.58,78.4,24.1,164.6,2,129.0464
xin liang you 821,Indica hybrid,Guangxi,2004,7.869,119,112.1,25.6,2.31,70.9,26.4,168.7,3.1,119.6083
jin you 315,Indica hybrid,Guangxi,2004,8.0715,116.5,113.1,24.1,2.775,76.7,25.4,144,3,110.448
an liang you 1 hao ,Indica hybrid,Guangxi,2004,7.455,118.5,105.3,21.1,2.685,75.7,25.6,148.4,3.04,112.3388
zhong you 679,Indica hybrid,Guangxi,2004,7.416,119,NA,25.2,2.565,79.6,26.4,136.5,3.2,108.654
zhong you 258,Indica hybrid,Guangxi,2004,7.083,120,120.6,25.7,2.67,75.3,26.3,140.4,3.1,105.7212
te you 649,Indica hybrid,Guangxi,2004,7.26,121,113.2,22.6,2.415,78.1,26.9,163.9,2.5,128.0059
ba hong you 256,Indica hybrid,Guangxi,2004,7.0935,122,123.2,25.4,2.625,78.1,26.6,148.4,3.4,115.9004
jin you 975,Indica hybrid,Guangxi,2004,7.3605,122,113.1,NA,2.565,77.1,26.9,156.7,3,120.8157
pei liang you 93,Indica hybrid,Guangxi,2004,7.8885,123,107.9,22.4,2.925,83.9,22.8,137.7,3.2,115.5303
liang you 1193,Indica hybrid,Guangxi,2004,7.068,118,110.6,24.6,2.43,85.7,29.3,126.6,2.9,108.4962
bo ��you 6410,Indica hybrid,Hainan,2004,4.9509,115,107.8,21.2,2.745,74,23.1,119,NA,88.06
yue za 922,Indica hybrid,Hainan,2004,7.37505,127,100,21.75,3.225,78.7,26,121.5,NA,95.6205
cong you 9919,Indica hybrid,Hainan,2004,7.51755,124,94.1,20.1,3.015,81.5,25.8,123.4,NA,100.571
qiong xiang liang you 1 hao ,Indica hybrid,Hainan,2004,7.55925,135.8,112.5,23.85,3.0135,71.9,24.1,144.7,NA,104.0393
si you 0848,Indica hybrid,Hainan,2004,7.88925,127.2,103.61,22.16,2.898,84.1,26.1,125.6,NA,105.6296
mian 5you 3551,Indica hybrid,Sichuan,2004,8.39145,153,115.8,24.7,2.82,79.9,25.9,NA,2.5,NA
tai xiang 5 hao ,Indica hybrid,Sichuan,2004,7.641,153,118,25,2.25,70.6,27,NA,2.9,136
chuan xiang 9 hao ,Indica hybrid,Sichuan,2004,7.809,151,105,24,2.16,81.8,31,NA,2.7,NA
yi you 3003,Indica hybrid,Sichuan,2004,8.49,154,117,24.1,2.865,83.3,27.7,NA,2.5,NA
rong dao 9 hao ,Indica hybrid,Sichuan,2004,7.6308,151.5,119,24.9,2.343,75.2,28.3,NA,3.3,119
shu long you 3 hao ,Indica hybrid,Sichuan,2004,7.7619,149.5,103,24,2.25,81,30,NA,3,NA
geng yun 2 hao ,Indica hybrid,Henan,2004,8.8005,151,NA,30.5,NA,88,30.5,NA,2.9,148
jin you 602,Indica hybrid,Guangdong,2004,7.7475,118,104.085,23.38,NA,83.745,25.615,NA,NA,NA
jin dao 2 hao ,Indica hybrid,Guangdong,2004,6.7335,122,104.5,23.5,2.775,74.5,27,145,NA,108.025
Dyou 162,Indica hybrid,Fujian,2004,7.39635,125,90,22,NA,80,29,NA,2,NA
feng you 880,Indica hybrid,Guangdong,2004,5.5995,111,99,23,3.15,72.5,25,128,NA,92.8
feng you 28,Indica hybrid,Shaanxi,2004,9.264,157,118.7,25.3,3.09,76,26.5,171.2,3.1,129.8
gang you 2009,Indica hybrid,Guizhou,2004,8.52615,153.88,112,NA,2.85,83,27,NA,NA,NA
Dyou 3232,Indica hybrid,Hubei,2004,8.4135,140.2,115.5,26.3,2.64,79.2,28.94,146,3.4,115.6
Kyou 130,Indica hybrid,Guangdong,2004,6.468,119.3,104.5,22.85,2.6925,77,31.95,119.4,NA,91.938
��you 87,Indica hybrid,Hubei,2004,8.39205,137.6,114.9,25.5,2.625,81.4,29.61,141.5,2.4,115.3
feng yuan you 299,Indica hybrid,Hunan,2004,7.0353,114,97,22,2.85,80,29.5,135,3,108
