panicle,growth,yield
3.12,171.1,8.55
3.345,176.8,9.36
3.651,161.7,8.553
3.885,130.0,8.6936
3.375,130.0,8.7583
3.465,130.0,8.6318
3.6,131.0,8.4804
3.57,135.0,8.5307
3.06,141.0,8.9788
3.21,142.0,8.8948
4.02,146.0,8.7688
3.66,145.0,8.7137
4.305,146.0,8.7757
2.595,171.0,9.3465
2.835,160.0,9.1335
2.835,147.3,8.37
3.09,153.2,9.204
3.345,153.5,9.081
3.18,154.0,9.594
3.075,156.4,9.243
3.06,160.0,9.2175
2.76,159.8,9.369
2.94,159.4,9.4275
3.255,161.0,9.3315
3.285,156.0,10.0695
3.27,145.0,8.8845
2.7,145.0,8.06865
3.075,143.0,7.749
2.79,140.1,7.3785
2.805,151.6,8.49
2.565,154.0,8.019
2.955,170.0,8.9475
2.67,124.6,7.497
3.09,142.0,8.4233
3.06,147.0,8.1379
3.66,131.0,8.6409
3.555,132.0,8.5098
3.3,136.0,7.9693
3.93,136.0,8.1093
3.6,135.0,8.0807
3.945,138.0,8.0887
4.155,135.0,8.0655
3.42,140.0,8.7304
3.075,139.0,8.328
3.165,142.0,8.5753
3.0,141.0,8.0563
3.09,141.0,8.3868
3.675,143.0,8.2401
3.84,144.0,8.6122
3.45,140.0,7.8917
2.6775,169.1,7.911
3.0,156.9,9.3465
3.0,155.0,8.7255
3.0,160.0,9.501
5.115,183.0,10.404
4.83,181.5,9.702
3.3,163.4,9.6915
3.225,145.4,9.00765
3.63,156.1,9.141
5.025,172.9,10.7715
4.23,174.8,11.079
3.06,161.0,9.4785
2.94,163.3,9.38925
2.97,154.4,8.8755
3.06,154.0,9.3564
2.82,153.9,8.0955
3.3,134.5,7.449
3.18,141.3,7.596
3.3,161.6,9.3735
3.015,143.0,9.26895
3.09,155.1,9.42675
4.68,176.9,8.427
3.18,155.8,9.38445
3.72,125.0,7.76925
3.915,148.0,8.1975
4.02,131.0,8.2633
3.96,131.0,8.5951
4.23,132.0,8.2361
4.095,132.0,8.4789
3.705,134.0,8.4177
3.525,136.0,8.6249
3.855,135.0,8.5076
3.285,140.0,8.9618
4.02,141.0,8.6584
3.165,140.0,8.6837
3.3,142.0,8.8119
3.495,140.0,8.7709
3.975,146.0,8.786
3.36,145.0,8.759
3.42,145.0,8.9756
3.075,177.0,10.5585
3.135,174.0,10.659
3.27,161.0,9.624
3.54,145.0,8.7717
3.18,153.0,9.663
2.955,156.9,9.459
3.015,161.0,9.57
3.21,157.0,9.636
3.195,153.0,9.2325
3.3,145.3,7.3455
3.465,146.3,7.0845
2.895,157.9,9.384
2.805,160.1,8.58
3.81,156.0,9.273
2.715,163.0,8.4705
3.705,180.6,9.4755
3.15,176.4,9.345
3.51,177.2,8.964
4.05,150.1,9.489
3.12,156.0,9.3465
3.0,147.0,9.342
3.045,145.0,9.1635
2.94,166.0,10.233
3.075,167.0,9.765
2.625,167.9,7.5645
3.84,147.0,7.836
3.675,145.0,7.8105
3.0,153.0,8.7279
3.45,133.0,7.671
3.45,132.0,7.7865
3.48,130.0,8.6998
3.57,133.0,8.5347
4.23,130.0,8.7988
3.12,132.0,8.7499
3.48,130.0,8.7865
3.81,135.0,8.4961
3.09,136.0,8.4137
3.18,136.0,8.5713
4.185,141.0,8.8691
3.54,140.0,8.7194
3.69,140.0,8.8569
3.795,142.0,8.3718
3.495,141.0,8.6396
3.825,138.0,8.8146
3.345,141.0,8.5592
3.585,142.0,8.4485
3.885,146.0,8.6287
3.735,145.0,8.9693
4.05,144.0,8.9605
4.815,144.0,8.9853
4.215,145.0,8.6702
2.76,171.0,9.258
2.88,176.0,10.4445
4.215,156.2,9.69
3.165,151.0,9.885
3.21,154.6,9.336
2.79,155.5,9.1155
3.33,160.5,8.8065
3.9,189.3,9.225
4.422,177.8,10.44
3.225,145.0,7.452
3.0,155.4,9.3885
3.165,151.9,9.981
3.162,154.6,9.7785
3.495,147.6,10.413
2.8395,147.0,10.449
3.105,158.8,9.99
2.715,160.8,10.029
2.925,149.6,9.762
2.85,163.2,10.104
3.2625,160.0,8.6535
2.94,161.0,8.763
3.405,160.5,8.727
3.15,136.0,8.535
3.21,156.4,8.979
3.075,155.4,8.895
3.78,190.3,8.091
4.275,174.9,9.939
4.14,176.5,10.089
3.8775,177.2,10.506
4.155,179.0,10.4265
3.9975,177.4,10.6455
4.5585,176.8,10.338
4.3935,176.8,10.1925
